"CODVIAJE"	"EDAD"	"CLIMA"	"CONGESTION"	"PAVIMENTO"	"INCIDENTE"	"MERIDIANO"	"HPICOHVALLE"	"GENERO"	"TIEMPO_PROFESION"	"HORASTRABAJO"	"NIVELEDUCATIVO"	"INFOTRAFICO"	"CinturonDeSeguridad"	"FrenoRapidoBrusco"	"UsaDireccionales"	"AceleraFrenaBruscamenteSemaforo"	"CulebreaConFrecuencia"	"OmiteLimiteVelocidad"	"IgnoraSenhalPare"	"UsoCelular"	"ActitudAgresiva"	"ViolacNormas"	"IdViaje"	"NivelEducativo"	"DispMobiles"	"SatisfDispMob"	"ComunicVerbal"	"Ansiedad"	"ComunicAfectiva"	"PresPersonal"	"AmbTrabajo"	"StressAlCond"	"HabProsoc"	"AmbLaboral"	"Stress"	"HabProsociales"	"DISTAlt1"	"TIEMPOAlt1"	"VELAlt1"	"DISTAlt2"	"TIEMPOAlt2"	"VELAlt2"	"DISTAlt3"	"TIEMPOAlt3"	"VELAlt3"	"DISTEC"	"TIEMPOEC"	"VELPROMEC"	"VELTOTALEC"	"COSTO"	"CHOICE"
"23"	24	4	"1"	"3"	"1"	"1"	"1"	"2"	1	25	15	4	1	5	1	5	1	3	1	1	1	0.139	0.135	373	4	1	0	7	1	1	1	1	1	1	0.074	0.153	0.259	6.6	20	19.8	6.7	20	20.1	8.1	23	21.1304347826087	6.24646435179677	21.4881000002225	24.7586298513129	17.4416472886819	11800	1
"24"	25	2	"1"	"1"	"1"	"1"	"1"	"1"	1	18	11	1	1	5	1	5	1	1	3	1	1	0.077	0.271	307	1	1	4	10	2	1	2	6	3	1	0.388	0.307	0.133	3.6	10	21.6	0	0	0	0	0	0	3.15221163699731	5.86423333088557	33.8079567938912	32.2519053298442	7400	4
"25"	27	3	"1"	"1"	"1"	"1"	"1"	"1"	1	12	10	1	1	5	3	1	5	3	1	1	1	0.614	0.187	326	1	1	0	3	5	5	2	2	9	1	0.064	0.905	0.398	4.2	14	18	5.1	18	17	6	16	22.5	3.54738638044935	14.0485500017802	29.1682967848926	15.1505445615377	10500	4
"26"	29	2	"1"	"2"	"1"	"1"	"1"	"1"	1	3	-1	4	1	5	3	5	5	5	3	1	3	0.659	0.212	284	4	1	0	1	6	6	2	1	6	4	0.052	0.687	0.553	5.7	19	18	5.9	19	18.6315789473684	5.9	22	16.0909090909091	6.36603958238424	23.9391666650772	24.9693674485906	15.9555418234448	12500	4
"27"	30	3	"2"	"2"	"1"	"1"	"2"	"2"	1	12	14	2	1	5	1	5	1	1	1	1	3	0.113	0.143	252	2	2	2	10	2	1	2	2	1	1	0.187	0.168	0.226	3	9	20	3	14	12.8571428571429	4.6	17	16.2352941176471	2.54612260750997	11.8005499998728	14.6865934087351	12.9457827348932	6500	2
"28"	31	2	"1"	"2"	"1"	"1"	"2"	"1"	1	10	12	1	1	5	1	5	1	1	1	1	1	0.102	0.141	287	1	1	2	9	2	1	3	5	2	1	0.401	0.217	0.156	4.2	8	31.5	4.5	15	18	4.8	15	19.2	4.00758480174602	18.6805499990781	64.5796650449415	12.871949065559	9800	4
"29"	32	3	"1"	"2"	"1"	"1"	"1"	"1"	1	1	18	1	1	1	1	3	1	1	1	1	1	0.06	0.254	357	1	1	0	9	5	2	1	3	7	1	0.105	0.777	0.161	5.8	15	23.2	5.6	17	19.7647058823529	7.4	18	24.6666666666667	3.15650373100609	18.1158333301544	726.383062420239	10.4544030853452	10900	4
"30"	33	2	"1"	"1"	"1"	"1"	"2"	"1"	1	0	0	4	1	5	1	3	1	1	1	1	1	0.091	0.192	365	4	1	4	10	5	5	2	2	1	1	0.145	0.193	0.58	7	20	21	7.8	23	20.3478260869565	8.4	29	17.3793103448276	5.0934231312904	15.7068833311399	73.398075501177	19.4567809179267	11000	1
"31"	34	3	"1"	"3"	"1"	"1"	"2"	"1"	1	20	12	2	1	5	1	5	1	3	1	1	1	0.139	0.135	148	2	5	1	10	1	1	1	1	1	1	0.076	0.158	0.257	6.5	19	20.5263157894737	7.8	20	23.4	6.6	27	14.6666666666667	7.01179764902764	23.269883330663	22.6656610992634	18.0795001403074	13000	1
"32"	35	3	"1"	"2"	"1"	"1"	"2"	"1"	1	20	15	2	1	1	1	5	1	3	1	1	3	0.119	0.2	157	2	1	0	4	1	1	1	3	1	1	0.181	0.128	0.239	5.1	13	23.5384615384615	5.4	14	23.1428571428571	5.3	16	19.875	3.80938883249998	11.7963333328565	27.6102098149348	19.3757944524489	8600	1
"33"	36	3	"1"	"1"	"1"	"1"	"1"	"1"	1	28	12	1	1	1	1	5	1	1	1	3	1	0.023	0.449	36	1	1	0	3	1	2	1	2	1	2	0.127	0.132	0.34	3.6	10	21.6	0	0	0	0	0	0	2.39929725460373	6.57099999984105	28.9139158648542	21.9080558940353	8900	1
"34"	37	2	"1"	"6"	"1"	"2"	"2"	"2"	1	1	16	3	1	5	1	5	5	3	1	1	1	0.31	0.165	47	3	3	1	4	5	5	3	3	2	2	0.254	0.266	0.532	8	20	24	7.5	22	20.4545454545455	7.3	22	19.9090909090909	7.06357971415996	35.5969500025113	19.6303140367692	11.9059296602574	13800	3
"35"	38	4	"1"	"6"	"1"	"1"	"1"	"2"	1	6	14	1	1	1	1	5	1	3	1	1	1	0.108	0.198	314	1	1	0	6	1	1	1	1	1	1	0.073	0.152	0.26	5.7	20	17.1	5.8	22	15.8181818181818	6.4	22	17.4545454545455	6.39574423991573	26.7703833301862	22.1763952405495	14.3346716280388	12300	4
"36"	39	3	"1"	"3"	"1"	"1"	"2"	"1"	1	2	12	1	1	5	3	3	1	3	3	1	1	0.429	0.236	29	1	0	0	2	4	7	2	1	3	3	0.073	0.334	0.735	5.3	11	28.9090909090909	5.4	13	24.9230769230769	6	15	24	3.80144723851796	13.2478833357493	23.6514302246168	17.2168510644706	8000	4
"37"	40	3	"1"	"5"	"1"	"1"	"1"	"2"	1	-1	12	4	1	5	1	5	1	3	1	1	1	0.139	0.135	270	4	1	0	3	1	4	2	3	2	4	0.237	0.195	0.469	4.8	16	18	5.2	18	17.3333333333333	5.9	16	22.125	5.64549274090123	14.8357333342234	36.0220664405947	22.8320068056686	10800	3
"38"	42	3	"1"	"1"	"1"	"1"	"2"	"1"	1	15	10	4	1	5	1	5	1	3	1	1	1	0.139	0.135	168	4	1	0	5	1	1	1	1	1	1	0.072	0.15	0.261	7	15	28	7.2	16	27	7.6	16	28.5	7.09674130805823	15.2309999982516	31.8835142857386	27.956436119255	12100	1
"39"	43	3	"2"	"2"	"1"	"1"	"2"	"1"	1	8	12	1	1	5	3	5	5	3	1	1	1	0.637	0.085	67	1	1	6	6	3	3	2	2	3	1	0.146	0.341	0.363	4.8	14	20.5714285714286	4.7	17	16.5882352941176	5.3	18	17.6666666666667	4.6130956407692	14.6347333351771	24.5429753265875	18.9129335059936	10000	1
"40"	44	4	"1"	"1"	"1"	"1"	"2"	"1"	1	15	12	1	1	5	1	5	1	1	3	1	1	0.077	0.271	113	1	1	0	10	1	1	2	2	1	1	0.191	0.139	0.232	3	8	22.5	2.9	10	17.4	3.2	14	13.7142857142857	2.53262021203206	6.53450000286102	28.0025954695089	23.2546044311564	6500	1
"41"	45	3	"1"	"1"	"1"	"1"	"2"	"1"	1	14	14	2	1	5	1	5	1	1	1	1	1	0.102	0.141	299	2	1	4	10	2	1	1	1	1	1	0.072	0.187	0.25	6.3	22	17.1818181818182	6.6	25	15.84	7.6	26	17.5384615384615	6.33638655798182	26.6689500013987	22.7513862031643	14.2556491147559	13000	1
"42"	46	3	"1"	"4"	"1"	"1"	"1"	"1"	1	12	15	1	1	5	1	5	1	5	1	1	1	0.175	0.129	319	1	4	3	8	1	1	3	1	1	1	0.194	0.138	0.233	6.7	17	23.6470588235294	6.9	20	20.7	7.3	21	20.8571428571429	7.08514356867066	20.6709999998411	27.8502199891034	20.5654595386536	12500	4
"43"	47	2	"2"	"2"	"1"	"1"	"2"	"2"	1	15	12	1	2	1	1	5	1	1	1	1	1	0.071	0.204	135	1	4	2	10	2	1	2	1	2	1	0.123	0.268	0.214	6.7	25	16.08	6.9	28	14.7857142857143	6.2	26	14.3076923076923	6.47320523924045	29.7498999993006	21.5949636829281	13.0552477273388	12600	4
"44"	48	2	"1"	"4"	"1"	"1"	"2"	"1"	1	3	10	1	2	1	3	3	5	3	1	3	1	0.546	0.444	13	1	0	0	5	1	3	3	7	2	3	0.516	0.153	0.32	4.5	18	15	6	19	18.9473684210526	5.7	19	18	4.64159732382637	11.8507333358129	66.1428027733698	23.5003042881716	8800	4
"45"	49	2	"1"	"1"	"2"	"1"	"2"	"1"	1	18	12	1	1	5	3	5	5	1	1	1	1	0.6	0.091	38	1	1	0	3	3	4	1	1	7	4	0.013	0.733	0.374	4.5	16	16.875	4.6	15	18.4	5.3	15	21.2	2.630331288637	10.1517833352089	25.5566747515748	15.5460249797552	8500	1
"46"	50	3	"2"	"2"	"1"	"1"	"2"	"1"	1	0	12	1	1	1	3	3	5	3	1	3	1	0.546	0.444	244	1	1	0	2	8	5	2	2	9	2	0.06	1	0.374	5.5	17	19.4117647058824	4.7	20	14.1	5.9	21	16.8571428571429	4.38749730530849	16.7344000021617	30.6811183157618	15.7310592721881	10500	2
"47"	52	2	"1"	"3"	"1"	"1"	"2"	"1"	1	13	14	1	1	5	3	3	5	3	1	3	1	0.576	0.381	68	1	1	6	6	2	2	2	3	2	1	0.222	0.226	0.288	5.8	18	19.3333333333333	0	0	0	0	0	0	4.79854997903428	17.8704333345095	22.5968152890229	16.1111369463027	10300	4
"48"	53	2	"1"	"2"	"1"	"1"	"2"	"2"	1	15	12	1	1	5	3	3	1	3	1	1	3	0.465	0.109	90	1	5	2	10	2	1	1	1	3	1	0.054	0.368	0.203	5.7	15	22.8	4.3	16	16.125	5.5	14	23.5714285714286	4.14609453488178	15.668666668733	28.2717254917224	15.8766331145025	9300	2
"49"	54	3	"2"	"4"	"2"	"1"	"2"	"1"	1	1	15	1	1	5	3	3	5	3	3	3	3	0.562	0.514	26	1	0	0	3	5	4	2	4	8	3	0.21	0.83	0.295	5.7	18	19	6.6	22	18	7.5	32	14.0625	6.24985553793692	20.7561166644096	123.416701735798	18.066545796556	10000	1
"50"	55	3	"1"	"2"	"1"	"1"	"1"	"1"	1	35	14	1	1	5	1	5	1	3	1	1	1	0.139	0.135	155	1	3	1	4	2	2	1	1	2	2	0.06	0.263	0.32	4.3	15	17.2	5.7	17	20.1176470588235	5.5	18	18.3333333333333	4.38871899411864	31.9890499989192	48.0357923365601	8.23166488707902	9500	1
"51"	56	4	"1"	"1"	"1"	"1"	"1"	"1"	1	42	10	1	1	5	1	5	1	1	1	1	1	0.102	0.141	308	1	1	3	10	4	1	2	2	2	1	0.169	0.316	0.189	4.3	13	19.8461538461538	5.2	14	22.2857142857143	4.5	15	18	4.09073760330632	11.5539333343506	59.2456875918398	21.2433505625879	9000	4
"52"	57	1	"1"	"3"	"2"	"1"	"2"	"1"	1	1	5	2	2	5	1	5	1	1	1	1	3	0.113	0.143	56	2	4	0	6	3	1	1	1	3	1	0.046	0.39	0.2	4.2	16	15.75	6	17	21.1764705882353	5.1	18	17	4.16604526925258	17.6693333347638	17.0117163051614	14.146697638182	9300	1
"53"	58	3	"1"	"1"	"1"	"1"	"1"	"2"	1	15	14	1	1	5	1	5	1	5	1	1	1	0.175	0.129	191	1	1	0	5	1	1	3	3	1	1	0.301	0.112	0.212	3	8	22.5	3	8	22.5	4.6	10	27.6	3.93480301965578	13.2180499990781	27.297711540109	17.8610446469648	8300	1
"54"	59	3	"1"	"2"	"1"	"1"	"2"	"1"	1	10	16	1	2	5	1	5	1	1	1	1	1	0.102	0.141	112	1	1	0	9	3	2	2	4	1	1	0.284	0.159	0.29	2.3	6	23	0	0	0	0	0	0	1.67889412663829	5.17211666901906	20.2360353877348	19.4762906648435	6000	1
"55"	60	3	"2"	"2"	"1"	"1"	"2"	"1"	1	11	14	1	1	5	1	5	1	1	1	1	1	0.102	0.141	131	1	1	0	10	1	1	2	2	1	1	0.191	0.139	0.232	4.5	20	13.5	4.6	22	12.5454545454545	4.7	24	11.75	4.48312964728217	22.8236666679382	20.3660578428629	11.7854761353833	10000	4
"56"	61	3	"1"	"2"	"1"	"1"	"1"	"1"	1	43	12	1	1	5	1	5	1	1	1	1	1	0.102	0.141	226	1	1	4	10	3	1	2	1	2	1	0.118	0.297	0.207	6.1	15	24.4	6.9	17	24.3529411764706	7.2	18	24	4.84228033522813	14.6074000000954	37.5390253645493	19.8897011180492	10000	1
"57"	62	2	"1"	"1"	"1"	"1"	"1"	"2"	1	15	10	1	1	5	5	3	5	5	3	1	1	0.963	0.181	224	1	1	0	6	1	3	2	2	5	2	0.145	0.474	0.324	6.4	15	25.6	5.6	16	21	6.5	18	21.6666666666667	7.6710397827606	16.3997166673342	46.0284197785723	28.0652645592597	13000	4
"58"	63	1	"1"	"2"	"2"	"1"	"2"	"1"	1	1	12	1	2	5	1	3	1	1	1	3	1	0.042	0.437	91	1	1	4	9	2	2	2	1	2	3	0.133	0.273	0.298	7.1	20	21.3	8.5	22	23.1818181818182	7.3	25	17.52	7.46795409376879	23.3891666650772	24.197973900399	19.1574694405492	13000	3
"59"	64	2	"1"	"1"	"1"	"1"	"2"	"2"	1	16	15	1	1	1	3	3	1	1	1	1	1	0.387	0.175	324	1	1	2	10	1	1	2	3	4	1	0.218	0.4	0.15	4	11	21.8181818181818	3.9	11	21.2727272727273	4.6	13	21.2307692307692	3.89067979239141	10.582333334287	29.7144868804618	22.0594816066823	8500	2
"60"	65	2	"1"	"2"	"1"	"1"	"1"	"1"	1	15	12	2	1	5	1	5	1	1	1	1	1	0.102	0.141	289	2	1	4	9	2	2	1	1	2	1	0.055	0.261	0.321	6.6	17	23.2941176470588	6.2	19	19.5789473684211	6.4	23	16.695652173913	5.49711694401198	11.7742833336194	38.329589208491	28.01249191099	12700	1
"61"	66	4	"1"	"5"	"1"	"1"	"1"	"1"	1	25	10	0	1	5	1	3	1	1	5	1	1	0.04	0.451	12	0	0	0	6	4	6	8	8	4	5	0.837	0.343	0.446	6	17	21.1764705882353	4.5	20	13.5	4.9	22	13.3636363636364	5.42730943222081	12.7379999995232	31.1517527075613	25.5643402375128	9900	1
"62"	67	3	"1"	"1"	"1"	"1"	"2"	"1"	1	3	12	1	1	5	1	5	1	1	1	1	1	0.102	0.141	80	1	1	0	9	2	1	1	1	1	1	0.071	0.185	0.251	5.1	15	20.4	7.3	16	27.375	6.7	18	22.3333333333333	4.73736064190911	17.7182666699092	30.1882175565947	16.042293741818	9500	1
"63"	68	3	"1"	"2"	"1"	"1"	"2"	"1"	1	18	14	1	1	5	3	5	1	3	1	1	1	0.465	0.056	94	1	4	1	1	4	3	1	1	2	1	0.032	0.29	0.408	5.5	22	15	6.7	22	18.2727272727273	5.8	23	15.1304347826087	5.50862162060594	26.3142333348592	19.0844411850945	12.5604000325752	12200	1
"64"	69	3	"2"	"3"	"1"	"1"	"2"	"1"	1	28	15	1	1	5	1	5	1	1	1	1	1	0.102	0.141	281	1	1	6	8	1	1	3	2	1	1	0.249	0.127	0.221	6.6	23	17.2173913043478	6.7	27	14.8888888888889	6.5	26	15	5.91130071093373	33.6188999970754	20.143818309065	10.5499597752121	14000	4
"65"	70	3	"1"	"2"	"1"	"1"	"2"	"2"	1	10	12	2	2	5	1	5	1	1	1	1	1	0.102	0.141	89	2	1	0	8	3	2	2	1	3	1	0.1	0.369	0.279	3.7	10	22.2	4.1	14	17.5714285714286	0	0	0	3.63471267080803	15.7786666671435	27.3710741637677	13.8213681072688	8600	4
"66"	71	3	"1"	"2"	"2"	"1"	"2"	"1"	1	17	12	0	1	5	3	3	5	3	3	1	1	0.6	0.266	106	0	6	2	8	3	2	2	2	3	2	0.164	0.37	0.262	7.4	21	21.1428571428571	7.1	24	17.75	8.1	25	19.44	7.56381662217391	21.7688333352407	125.799845530399	20.8476490375692	13500	1
"67"	72	1	"1"	"4"	"1"	"1"	"2"	"1"	1	1	10	1	1	1	5	3	5	5	5	5	3	0.821	0.867	25	1	0	0	2	9	8	7	2	2	5	0.426	0.34	0.732	4.5	16	16.875	5.3	16	19.875	5.7	17	20.1176470588235	4.23771345728268	14.105166665713	27.3710731912375	18.0262178719962	8700	1
"68"	73	4	"1"	"2"	"1"	"1"	"1"	"2"	1	35	12	0	1	5	1	5	1	3	1	1	1	0.139	0.135	222	0	1	0	1	1	1	1	1	1	1	0.068	0.144	0.265	5.4	15	21.6	5	15	20	4.8	18	16	4.40622572994384	10.1679999987284	30.8543550283251	26.0005452232191	9300	4
"69"	74	1	"2"	"1"	"1"	"1"	"1"	"2"	1	3	12	2	2	5	3	5	5	1	1	1	1	0.6	0.091	35	2	5	2	5	1	1	1	2	1	1	0.127	0.14	0.25	8.8	19	27.7894736842105	9	19	28.4210526315789	9	21	25.7142857142857	7.32946998553507	15.6474999984105	50.9279953365068	28.1046939879709	14300	1
"70"	75	3	"1"	"1"	"1"	"1"	"1"	"2"	1	30	13	2	1	5	1	5	1	3	1	1	3	0.15	0.137	194	2	1	0	5	1	1	3	3	1	1	0.301	0.112	0.212	3.9	10	23.4	4.4	12	22	4.2	12	21	4.07525029408923	13.4006000002225	23.7638498861588	18.246572365513	9200	4
"71"	76	3	"2"	"6"	"1"	"1"	"2"	"2"	1	25	15	1	2	5	3	5	1	5	1	1	3	0.513	0.052	363	1	1	0	6	1	1	1	1	1	1	0.073	0.152	0.26	6.4	29	13.2413793103448	6.3	30	12.6	6.7	30	13.4	6.00751792225942	39.7268333355586	15.7669965903819	9.07323954796402	14400	4
"72"	77	4	"1"	"6"	"1"	"1"	"2"	"1"	1	3	12	2	1	5	1	5	1	3	1	3	1	0.09	0.38	370	2	1	0	7	1	1	2	2	1	1	0.188	0.134	0.235	6.3	17	22.2352941176471	5.2	20	15.6	5.7	20	17.1	4.61121818511702	24.5118333339691	64.7288900218792	11.2873275261545	9400	2
"73"	78	3	"1"	"1"	"2"	"1"	"2"	"1"	1	16	15	1	1	5	1	3	1	1	1	1	5	0.113	0.197	81	1	1	0	6	2	2	2	2	2	3	0.186	0.258	0.289	10.3	22	28.0909090909091	9.3	23	24.2608695652174	8.3	21	23.7142857142857	6.8309536102594	15.5195500016212	35.164660989943	26.409091537625	12500	3
"74"	79	4	"1"	"1"	"1"	"1"	"1"	"2"	1	35	13	1	1	5	3	3	1	1	3	1	1	0.392	0.242	215	1	1	2	9	3	1	2	1	3	1	0.108	0.386	0.184	6.4	15	25.6	6.5	14	27.8571428571429	6.8	16	25.5	6.0618003980079	13.738399998347	36.8004320434445	26.4738269321199	11500	1
"75"	80	2	"1"	"6"	"1"	"2"	"1"	"2"	1	5	15	1	1	5	1	5	5	5	1	1	1	0.346	0.159	50	1	1	0	1	1	1	3	3	4	1	0.27	0.377	0.145	4.7	14	20.1428571428571	6.1	16	22.875	4.7	17	16.5882352941176	4.82116742516463	16.3461666663488	26.2858837069119	17.6965065519237	10600	4
